number,code,name
1,00,전국
2,11,서울특별시
3,11110,종로구
4,11140,중구
5,11170,용산구
6,11200,성동구
7,11215,광진구
8,11230,동대문구
9,11260,중랑구
10,11290,성북구
11,11305,강북구
12,11320,도봉구
13,11350,노원구
14,11380,은평구
15,11410,서대문구
16,11440,마포구
17,11470,양천구
18,11500,강서구
19,11530,구로구
20,11545,금천구
21,11560,영등포구
22,11590,동작구
23,11620,관악구
24,11650,서초구
25,11680,강남구
26,11710,송파구
27,11740,강동구
28,26,부산광역시
29,26110,중구
30,26140,서구
31,26170,동구
32,26200,영도구
33,26230,부산진구
34,26260,동래구
35,26290,남구
36,26320,북구
37,26350,해운대구
38,26380,사하구
39,26410,금정구
40,26440,강서구
41,26470,연제구
42,26500,수영구
43,26530,사상구
44,26710,기장군
45,27,대구광역시
46,27110,중구
47,27140,동구
48,27170,서구
49,27200,남구
50,27230,북구
51,27260,수성구
52,27290,달서구
53,27710,달성군
54,28,인천광역시
55,28110,중구
56,28140,동구
57,28170,남구
58,28185,연수구
59,28200,남동구
60,28237,부평구
61,28245,계양구
62,28260,서구
63,28710,강화군
64,28720,옹진군
65,29,광주광역시
66,29110,동구
67,29140,서구
68,29155,남구
69,29170,북구
70,29200,광산구
71,30,대전광역시
72,30110,동구
73,30140,중구
74,30170,서구
75,30200,유성구
76,30230,대덕구
77,31,울산광역시
78,31110,중구
79,31140,남구
80,31170,동구
81,31200,북구
82,31710,울주군
83,36,세종특별자치시
84,36110,세종특별자치시
85,41,경기도
86,41110,수원시
87,41130,성남시
88,41150,의정부시
89,41170,안양시
90,41190,부천시
91,41210,광명시
92,41220,평택시
93,41250,동두천시
94,41270,안산시
95,41280,고양시
96,41290,과천시
97,41310,구리시
98,41360,남양주시
99,41370,오산시
100,41390,시흥시
101,41410,군포시
102,41430,의왕시
103,41450,하남시
104,41460,용인시
105,41480,파주시
106,41500,이천시
107,41550,안성시
108,41570,김포시
109,41590,화성시
110,41610,광주시
111,41630,양주시
112,41650,포천시
113,41670,여주시
114,41800,연천군
115,41820,가평군
116,41830,양평군
117,42,강원도
118,42110,춘천시
119,42130,원주시
120,42150,강릉시
121,42170,동해시
122,42190,태백시
123,42210,속초시
124,42230,삼척시
125,42720,홍천군
126,42730,횡성군
127,42750,영월군
128,42760,평창군
129,42770,정선군
130,42780,철원군
131,42790,화천군
132,42800,양구군
133,42810,인제군
134,42820,고성군
135,42830,양양군
136,43,충청북도
137,43110,청주시
138,43130,충주시
139,43150,제천시
140,43720,보은군
141,43730,옥천군
142,43740,영동군
143,43745,증평군
144,43750,진천군
145,43760,괴산군
146,43770,음성군
147,43800,단양군
148,44,충청남도
149,44130,천안시
150,44150,공주시
151,44180,보령시
152,44200,아산시
153,44210,서산시
154,44230,논산시
155,44250,계룡시
156,44710,금산군
157,44270,당진시
158,44760,부여군
159,44770,서천군
160,44790,청양군
161,44800,홍성군
162,44810,예산군
163,44825,태안군
164,45,전라북도
165,45110,전주시
166,45130,군산시
167,45140,익산시
168,45180,정읍시
169,45190,남원시
170,45210,김제시
171,45710,완주군
172,45720,진안군
173,45730,무주군
174,45740,장수군
175,45750,임실군
176,45770,순창군
177,45790,고창군
178,45800,부안군
179,46,전라남도
180,46110,목포시
181,46130,여수시
182,46150,순천시
183,46170,나주시
184,46230,광양시
185,46710,담양군
186,46720,곡성군
187,46730,구례군
188,46770,고흥군
189,46780,보성군
190,46790,화순군
191,46800,장흥군
192,46810,강진군
193,46820,해남군
194,46830,영암군
195,46840,무안군
196,46860,함평군
197,46870,영광군
198,46880,장성군
199,46890,완도군
200,46900,진도군
201,46910,신안군
202,47,경상북도
203,47110,포항시
204,47130,경주시
205,47150,김천시
206,47170,안동시
207,47190,구미시
208,47210,영주시
209,47230,영천시
210,47250,상주시
211,47280,문경시
212,47290,경산시
213,47720,군위군
214,47730,의성군
215,47750,청송군
216,47760,영양군
217,47770,영덕군
218,47820,청도군
219,47830,고령군
220,47840,성주군
221,47850,칠곡군
222,47900,예천군
223,47920,봉화군
224,47930,울진군
225,47940,울릉군
226,48,경상남도
227,48120,창원시
228,48170,진주시
229,48220,통영시
230,48240,사천시
231,48250,김해시
232,48270,밀양시
233,48310,거제시
234,48330,양산시
235,48720,의령군
236,48730,함안군
237,48740,창녕군
238,48820,고성군
239,48840,남해군
240,48850,하동군
241,48860,산청군
242,48870,함양군
243,48880,거창군
244,48890,합천군
245,50,제주특별자치도
246,50110,제주시
247,50130,서귀포시
